iter	Passed	Remaining
0	7	2333
1	14	2206
2	22	2261
3	30	2251
4	41	2462
5	48	2360
6	55	2335
7	62	2269
8	69	2248
9	75	2191
10	82	2173
11	88	2135
12	96	2131
13	102	2098
14	114	2167
15	120	2136
16	128	2137
17	134	2107
18	141	2094
19	148	2077
20	155	2070
21	162	2053
22	171	2070
23	178	2049
24	185	2038
25	191	2016
26	198	2004
27	205	1995
28	212	1990
29	219	1972
30	227	1976
31	233	1958
32	240	1947
33	246	1930
34	253	1920
35	259	1904
36	266	1895
37	272	1879
38	279	1869
39	285	1855
40	292	1846
41	298	1831
42	306	1833
43	313	1822
44	320	1818
45	326	1804
46	333	1795
47	339	1782
48	346	1773
49	352	1761
50	359	1755
51	366	1745
52	373	1741
53	379	1729
54	388	1729
55	394	1718
56	401	1711
57	407	1700
58	416	1702
59	422	1691
60	430	1685
61	436	1674
62	443	1669
63	450	1660
64	457	1655
65	464	1645
66	472	1643
67	478	1633
68	485	1626
69	492	1618
70	501	1616
71	508	1609
72	515	1603
73	521	1593
74	530	1591
75	537	1585
76	544	1577
77	550	1567
78	559	1564
79	565	1554
80	572	1547
81	578	1537
82	585	1530
83	592	1523
84	600	1520
85	607	1510
86	615	1507
87	621	1497
88	628	1490
89	634	1481
90	641	1473
91	647	1464
92	654	1457
93	661	1448
94	669	1444
95	675	1435
96	683	1430
97	689	1421
98	697	1417
99	703	1407
100	710	1400
101	716	1391
102	723	1384
103	729	1375
104	738	1371
105	744	1362
106	751	1355
107	757	1346
108	765	1340
109	771	1332
110	778	1326
111	785	1317
112	793	1313
113	800	1306
114	809	1302
115	816	1294
116	823	1287
117	829	1278
118	836	1271
119	843	1264
120	851	1259
121	857	1251
122	864	1244
123	871	1236
124	879	1231
125	885	1223
126	893	1217
127	900	1209
128	908	1204
129	914	1196
130	922	1189
131	928	1181
132	934	1173
133	941	1166
134	949	1160
135	955	1152
136	963	1145
137	969	1138
138	977	1131
139	983	1123
140	991	1118
141	998	1111
142	1006	1105
143	1013	1098
144	1022	1093
145	1028	1085
146	1035	1078
147	1041	1069
148	1050	1064
149	1056	1056
150	1063	1049
151	1069	1041
152	1076	1034
153	1083	1027
154	1093	1022
155	1099	1014
156	1106	1007
157	1112	999
158	1120	993
159	1127	986
160	1134	979
161	1141	971
162	1147	964
163	1154	957
164	1161	949
165	1167	942
166	1175	936
167	1181	928
168	1188	921
169	1195	914
170	1202	906
171	1208	899
172	1216	892
173	1222	885
174	1229	878
175	1235	870
176	1242	863
177	1249	856
178	1256	849
179	1262	841
180	1269	834
181	1275	827
182	1284	821
183	1291	814
184	1298	807
185	1304	799
186	1311	792
187	1318	785
188	1326	779
189	1334	772
190	1342	766
191	1348	758
192	1356	751
193	1363	745
194	1371	738
195	1377	731
196	1385	724
197	1392	717
198	1400	710
199	1406	703
200	1413	696
201	1420	689
202	1427	682
203	1434	675
204	1442	668
205	1449	661
206	1458	655
207	1464	647
208	1471	640
209	1477	633
210	1485	626
211	1492	619
212	1501	613
213	1507	605
214	1514	598
215	1520	591
216	1526	584
217	1533	576
218	1540	569
219	1546	562
220	1555	555
221	1561	548
222	1569	541
223	1576	534
224	1585	528
225	1592	521
226	1599	514
227	1605	506
228	1613	500
229	1620	493
230	1628	486
231	1634	479
232	1643	472
233	1649	465
234	1656	458
235	1663	451
236	1672	444
237	1678	437
238	1686	430
239	1693	423
240	1704	417
241	1711	410
242	1718	403
243	1724	395
244	1732	388
245	1739	381
246	1748	375
247	1754	367
248	1761	360
249	1767	353
250	1774	346
251	1783	339
252	1792	332
253	1798	325
254	1805	318
255	1811	311
256	1819	304
257	1826	297
