iter	Logloss
0	0.6894126103
1	0.6860179521
2	0.6833847673
3	0.6806186364
4	0.6780532174
5	0.6761999065
6	0.6742542365
7	0.6715500963
8	0.6681542988
9	0.6657830708
10	0.6634177346
11	0.6618391836
12	0.6599602165
13	0.6564189887
14	0.6544432247
15	0.6519539488
16	0.649718059
17	0.6484288708
18	0.6473522195
19	0.6456107888
20	0.6434919439
21	0.6416016603
22	0.6399417396
23	0.6380695453
24	0.6365877189
25	0.6355137568
26	0.6342988574
27	0.6325913213
28	0.6308166512
29	0.6295319272
30	0.6279741063
31	0.6269515669
32	0.6256279998
33	0.6243449154
34	0.6229907053
35	0.621743538
36	0.6204740436
37	0.6193470296
38	0.6165900022
39	0.6157218288
40	0.6136224594
41	0.6119071935
42	0.611023266
43	0.6085330322
44	0.6075478053
45	0.6064718651
46	0.6053082275
47	0.6040133186
48	0.6029923589
49	0.6014770823
50	0.5998706116
51	0.5975925458
52	0.596095678
53	0.5941237362
54	0.5922883582
55	0.5918895987
56	0.5905921978
57	0.5895972312
58	0.5886790612
59	0.5872174608
60	0.5865833347
61	0.5849510971
62	0.5833401144
63	0.5825688995
64	0.5815890676
65	0.5801675088
66	0.5790584044
67	0.5782121285
68	0.5775795143
69	0.5760403774
70	0.574223296
71	0.5713122522
72	0.5703423202
73	0.56937688
74	0.5674350154
75	0.5660355305
76	0.5651755673
77	0.5634975058
78	0.5626951421
79	0.5615584991
80	0.5609926299
81	0.5597064678
82	0.5584639848
83	0.5567801713
84	0.554895211
85	0.5537802033
86	0.5533381371
87	0.5525309108
88	0.5517296947
89	0.5499283664
90	0.5487174116
91	0.5479183283
92	0.5464618705
93	0.5463996958
94	0.5449694647
95	0.5441154452
96	0.5431281441
97	0.5426860338
98	0.5406264033
99	0.5399409268
100	0.5386875602
101	0.5365442414
102	0.5354447586
103	0.5345712858
104	0.5329360607
105	0.5314660336
