iter	Passed	Remaining
0	7	2302
1	14	2225
2	21	2163
3	29	2187
4	36	2150
5	42	2085
6	49	2058
7	54	2005
8	62	2026
9	68	1998
10	76	2017
11	82	1985
12	88	1952
13	95	1943
14	102	1955
15	109	1937
16	116	1936
17	123	1932
18	129	1922
19	136	1906
20	142	1896
21	149	1891
22	156	1882
23	163	1878
24	170	1871
25	177	1868
26	183	1852
27	189	1838
28	194	1821
29	201	1809
30	207	1799
31	213	1791
32	220	1784
33	228	1785
34	234	1773
35	240	1760
36	247	1757
37	254	1754
38	260	1742
39	267	1737
40	273	1729
41	280	1722
42	287	1717
43	293	1705
44	300	1704
45	306	1693
46	312	1682
47	318	1670
48	325	1664
49	332	1661
50	339	1655
51	345	1647
52	351	1640
53	357	1629
54	363	1621
55	369	1610
56	375	1601
57	382	1595
58	388	1587
59	394	1577
60	400	1569
61	406	1560
62	412	1553
63	418	1543
64	424	1534
65	431	1529
66	438	1526
67	445	1521
